Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-08-06,0.0010684513716645138,0.2,0.0001,0.0009684513716645138,1.0258240581566584,1.0216749363168849
2021-08-09,0.0009602198476834855,0.0,0.0,0.0009602198476834855,1.0268090747775316,1.0226559688686172
2021-08-10,4.657108682249106e-07,0.19999999999999998,9.999999999999999e-05,-9.953428913177508e-05,1.0268095529736774,1.0225541795337294
2021-08-11,0.0010806906810192584,0.0,0.0,0.0010806906810192584,1.0279192164887576,1.0236592443063888
2021-08-12,-0.0009078853933291553,0.0,0.0,-0.0009078853933291553,1.026985983646585,1.0227298790307366
2021-08-13,0.002271599663330348,0.19999999999999998,9.999999999999999e-05,0.0021715996633303483,1.0293188846612817,1.0249508388917177
2021-08-16,-0.0002983128809717849,0.0,0.0,-0.0002983128809717849,1.0290118255793597,1.0246450828541134
2021-08-17,-0.0058146126415978714,0.0,0.0,-0.0058146126415978714,1.0230285204099923,1.0186871686021988
2021-08-18,-0.005535638309505608,0.0,0.0,-0.005535638309505608,1.017365404540694,1.0130480848862826
2021-08-19,-0.0015418654886803606,0.19999999999999998,9.999999999999999e-05,-0.0016418654886803607,1.0157967639340553,1.0113847961973341
2021-08-20,0.0009304265781542976,0.0,0.0,0.0009304265781542976,1.0167418882412225,1.0123258154924573
2021-08-23,0.0006062309358580653,0.0,0.0,0.0006062309358580653,1.017358268627657,1.0129395187189765
2021-08-24,-0.001921687193552357,0.19999999999999998,9.999999999999999e-05,-0.0020216871935523567,1.0154032242715807,1.0108916718661392
2021-08-25,0.001242433901358919,0.0,0.0,0.001242433901358919,1.0166647956609647,1.0121476379498668
2021-08-26,0.0025391013229671966,0.2,0.0001,0.0024391013229671968,1.0192462105886415,1.0146163685926286
2021-08-27,0.008752537985074138,0.0,0.0,0.008752537985074138,1.0281672017629615,1.0234968368990136
2021-08-30,-0.0008376286743347447,0.2,0.0001,-0.0009376286743347448,1.0273059794327544,1.0225371769166463
2021-08-31,0.00046440335523194597,0.19999999999999998,9.999999999999999e-05,0.000364403355231946,1.0277830637764527,1.0229097928947641
2021-09-01,0.0009728254581043206,0.0,0.0,0.0009728254581043206,1.0287829173063028,1.0239049055826364
2021-09-02,-0.00042633177733861774,0.2,0.0001,-0.0005263317773386177,1.028344314456672,1.0233659918938554
2021-09-03,-0.001867713810859284,0.0,0.0,-0.001867713810859284,1.0264236615782427,1.0214546370972315
2021-09-07,-0.0010183358718371615,0.2,0.0001,-0.0011183358718371615,1.025378417543955,1.0203123077351113
2021-09-08,0.0009464982685594477,0.19999999999999998,9.999999999999999e-05,0.0008464982685594477,1.0263489364407787,1.021176000336999
2021-09-09,-0.00837623833695622,0.0,0.0,-0.00837623833695622,1.0177519931322692,1.0126223867741966
